Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title,,,
05/30/2011 22:00:00,Windows 7,Firefox/4 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,I'll Let You Know When I Get There-The Killing Season 1,,,
05/30/2011 22:00:00,Windows 7,Firefox/4 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,I'll Let You Know When I Get There-The Killing Season 1,,,
06/07/2011 1:00:00,Windows 7,Firefox/4 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Pilot-The Killing Season 1,,,
06/07/2011 1:00:00,Windows 7,Firefox/4 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Missing-The Killing Season 1,,,
06/17/2011 23:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Beau Soleil-The Killing Season 1,,,
06/17/2011 23:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Beau Soleil-The Killing Season 1,,,
06/20/2011 23:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Pilot-The Killing Season 1,,,
06/20/2011 23:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Pilot-The Killing Season 1,,,
06/20/2011 23:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Orpheus Descending-The Killing Season 1,,,
07/17/2011 22:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Planet Of The Apes (1968),,,
07/17/2011 22:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Planet Of The Apes (1968),,,
07/21/2011 22:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Planet Of The Apes (1968),,,
07/22/2011 0:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Planet Of The Apes (1968),,,
07/22/2011 0:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Planet Of The Apes (1968),,,
07/23/2011 0:00:00,Windows 7,Firefox/3 Gecko/2,,cincinnati,us,Cincinnati_Bell_Telephone,oh,,,,,Limitless,,,
